regcode,regcode_9,`nscb_reg_name`,regabbrev,UserLevelID,addedby,dateupdated,status
1,1,REGION I (ILOCOS REGION),REGION I,0,ims,,A
2,2,REGION II (CAGAYAN VALLEY),REGION II,0,ims,,A
3,3,REGION III (CENTRAL LUZON),REGION III,0,ims,,A
4,4,REGION IV-A (CALABARZON),CALABARZON,0,ims,,A
17,17,MIMAROPA REGION,MIMAROPA,0,ims,,A
5,5,REGION V (BICOL REGION),REGION V,0,ims,,A
6,6,REGION VI (WESTERN VISAYAS),REGION VI,0,ims,,A
7,7,REGION VII (CENTRAL VISAYAS),REGION VII,0,ims,,A
8,8,REGION VIII (EASTERN VISAYAS),REGION VIII,0,ims,,A
9,9,REGION IX (ZAMBOANGA PENINSULA),REGION IX,0,ims,,A
10,10,REGION X (NORTHERN MINDANAO),REGION X,0,ims,,A
11,11,REGION XI (DAVAO REGION),REGION XI,0,ims,,A
12,12,REGION XII (SOCCSKSARGEN),REGION XII,0,ims,,A
13,13,NATIONAL CAPITAL REGION (NCR),NCR,0,ims,,A
14,14,CAR,CAR,0,ims,,A
16,16,REGION XIII (CARAGA),REGION XIII,0,ims,,A
19,15,BARMM,REGION IV-B,0,ims,,A
18,6,NEGROS ISLAND REGION (NIR),REGION NIR,0,ims,,A
